TH;AMBITO;CODMUN;DISTRITO;SECCION;MESA;CENSO;VOTANTES;NULOS;VALIDOS;BLANCOS;VOTOS_CANDIDATOS;ABSTENCION;EAJ-PNV;PH;PCTE / ELAK;PSE-EE/PSOE;ATTKA/PACMA;PUM+J;EB-AZ;O.E.;EH BILDU;VOX;P-LIB;LxE-EaL;PODEMOS-AHALDUGU/EZKER AN;PP+Cs;L.F.F.;UCDE;EQUO BERDEAK-VERDES;RECORTES CERO-LV-M
Araba-Alava;AGURAIN/SALVATIERRA;51;1;1;"	A";544;318;2;316;1;315;226;113;;;21;1;0;0;0;152;4;;0;17;6;0;;1;0
Araba-Alava;AGURAIN/SALVATIERRA;51;1;1;"	B";587;304;2;302;2;300;283;103;;;17;0;0;0;1;149;2;;0;17;10;0;;1;0
Araba-Alava;AGURAIN/SALVATIERRA;51;1;2;"	A";670;364;1;363;2;361;306;136;;;16;1;1;0;0;184;0;;0;14;8;0;;1;0
Araba-Alava;AGURAIN/SALVATIERRA;51;1;2;"	B";771;450;5;445;;445;321;164;;;16;2;0;0;0;223;3;;0;18;14;0;;4;1
Araba-Alava;AGURAIN/SALVATIERRA;51;1;3;"	A";429;190;;190;;190;239;64;;;27;3;0;0;1;64;6;;0;16;8;0;;1;0
Araba-Alava;AGURAIN/SALVATIERRA;51;1;3;"	B";551;268;2;266;;266;283;106;;;31;0;0;0;0;85;8;;1;15;15;0;;3;2
Araba-Alava;ALEGR?A-DULANTZI;1;1;1;"	A";488;246;4;242;2;240;242;89;;;24;5;0;3;1;78;9;;1;11;12;0;;6;1
Araba-Alava;ALEGR?A-DULANTZI;1;1;1;"	B";505;266;5;261;1;260;239;107;;;26;1;0;3;0;72;10;;2;17;15;0;;6;1
Araba-Alava;ALEGR?A-DULANTZI;1;1;2;"	A";531;294;1;293;1;292;237;103;;;46;1;0;3;0;79;14;;3;19;13;0;;10;1
Araba-Alava;ALEGR?A-DULANTZI;1;1;2;"	B";505;263;2;261;3;258;242;93;;;34;3;0;0;1;58;16;;1;30;13;0;;8;1
Araba-Alava;AMURRIO;2;1;1;"	A";613;401;5;396;;396;212;154;;;35;1;0;2;0;137;16;;0;31;14;1;;4;1
Araba-Alava;AMURRIO;2;1;1;"	B";575;360;5;355;1;354;215;153;;;28;1;1;1;0;113;11;;0;14;25;2;;5;0
Araba-Alava;AMURRIO;2;1;1;"	C";277;179;1;178;;178;98;101;;;3;2;0;1;1;43;5;;0;13;7;0;;2;0
Araba-Alava;AMURRIO;2;1;2;"	A";579;367;1;366;6;360;212;152;;;30;3;1;0;0;124;11;;0;17;15;0;;6;1
Araba-Alava;AMURRIO;2;1;2;"	B";502;292;3;289;;289;210;135;;;26;0;0;2;1;90;9;;0;8;14;1;;3;0
Araba-Alava;AMURRIO;2;1;2;"	C";214;141;1;140;6;134;73;69;;;1;0;0;0;0;52;3;;0;4;3;0;;2;0
Araba-Alava;AMURRIO;2;1;3;"	A";542;352;5;347;1;346;190;142;;;29;0;2;0;0;131;3;;0;28;11;0;;0;0
Araba-Alava;AMURRIO;2;1;3;"	B";549;355;5;350;1;349;194;152;;;26;1;0;1;0;127;1;;0;24;14;0;;3;0
Araba-Alava;AMURRIO;2;1;4;"	A";672;417;3;414;4;410;255;174;;;45;6;0;1;0;131;10;;0;19;16;0;;8;0
Araba-Alava;AMURRIO;2;1;4;"	B";723;437;8;429;4;425;286;166;;;35;2;5;0;0;162;8;;0;26;12;0;;9;0
