TH;CODMUN;AMBITO;DISTRITO;SECCION;MESA;CENSO;VOTANTES;NULOS;VALIDOS;BLANCOS;VOTOS_CANDIDATOS;ABSTENCIONES;EAJ-PNV;PP;HB;U.AL.;EA;EB;PSE-EE/PSOE;CNPS
ARABA-?LAVA;1;ALEGR?A-DULANTZI;1;1;U;793;516;4;512;14;498;277;195;56;26;52;62;21;86;0
ARABA-?LAVA;2;AMURRIO;1;1;A;336;216;4;212;6;206;120;78;26;41;11;40;5;5;0
ARABA-?LAVA;2;AMURRIO;1;1;B;1254;864;7;857;14;843;390;230;155;114;45;162;61;73;3
ARABA-?LAVA;2;AMURRIO;1;2;A;245;164;1;163;2;161;81;72;12;36;10;26;5;0;0
ARABA-?LAVA;2;AMURRIO;1;2;B;533;345;0;345;10;335;188;91;29;51;19;77;14;53;1
ARABA-?LAVA;2;AMURRIO;1;2;C;530;339;1;338;5;333;191;123;37;37;27;47;20;42;0
ARABA-?LAVA;2;AMURRIO;1;2;D;212;128;0;128;1;127;84;39;22;37;2;25;1;1;0
ARABA-?LAVA;2;AMURRIO;1;3;U;777;547;6;541;6;535;230;171;76;61;24;105;30;68;0
ARABA-?LAVA;2;AMURRIO;1;4;U;1099;707;5;702;11;691;392;220;73;91;28;130;32;115;2
ARABA-?LAVA;2;AMURRIO;1;5;U;1038;655;11;644;13;631;383;163;62;76;35;125;44;124;2
ARABA-?LAVA;2;AMURRIO;1;6;U;765;486;9;477;7;470;279;142;39;84;20;91;20;72;2
ARABA-?LAVA;2;AMURRIO;1;7;U;917;620;15;605;8;597;297;167;52;77;32;112;34;123;0
ARABA-?LAVA;3;ARAMAIO;1;1;A;735;530;5;525;10;515;205;141;8;149;3;199;3;12;0
ARABA-?LAVA;3;ARAMAIO;1;1;B;368;264;3;261;1;260;104;87;3;64;5;92;2;7;0
ARABA-?LAVA;4;ARTZINIEGA;1;1;U;1030;756;9;747;16;731;274;280;159;111;30;59;36;54;2
ARABA-?LAVA;6;ARMI??N;1;1;U;116;82;0;82;4;78;34;20;32;1;19;0;3;3;0
ARABA-?LAVA;8;ARRAZUA-UBARRUNDIA;1;1;U;573;339;3;336;4;332;234;130;38;31;60;16;13;44;0
ARABA-?LAVA;9;ASPARRENA;1;1;A;573;344;2;342;8;334;229;108;25;67;32;57;9;36;0
ARABA-?LAVA;9;ASPARRENA;1;1;B;705;440;5;435;6;429;265;141;36;93;41;52;13;51;2
ARABA-?LAVA;10;AYALA / AIARA;1;1;A;812;574;4;570;5;565;238;253;129;54;27;59;29;11;3
ARABA-?LAVA;10;AYALA / AIARA;1;1;B;433;273;5;268;4;264;160;82;48;40;13;48;14;19;0
ARABA-?LAVA;10;AYALA / AIARA;1;1;C;490;368;7;361;1;360;122;205;58;30;11;38;5;13;0
ARABA-?LAVA;11;BA?OS DE EBRO / MA?UETA;1;1;U;294;210;3;207;7;200;84;98;42;4;34;2;2;18;0
ARABA-?LAVA;13;BARRUNDIA;1;1;U;489;254;1;253;1;252;235;104;24;31;44;27;12;9;1
ARABA-?LAVA;14;BERANTEVILLA;1;1;U;344;234;1;233;6;227;110;93;35;10;56;5;17;11;0
ARABA-?LAVA;16;BERNEDO;1;1;U;500;252;0;252;2;250;248;107;62;19;40;4;8;10;0
ARABA-?LAVA;17;CAMPEZO / KANPEZU;1;1;U;972;632;3;629;13;616;340;258;122;46;71;39;14;65;1
