TH;AMBITO;CODMUN;DISTRITO;SECCION;MESA;CENSO;VOTOS;NULOS;VALIDOS;BLANCOS;VOTOS_CANDIDATOS;ABSTENCION;EAJ-PNV;EH BILDU;PSE-EE/PSOE;PP;SUMAR;PODEMOS-AHAL DUGU - ALIANZA VERDE;VOX;PACMA;EB-AZ;PUM+J;IZAN;PCTE / ELAK;PH;O.E.
?lava;AGURAIN/SALVATIERRA;51;1;1;"	A";538;359;3;356;;356;179;101;199;20;16;4;9;4;1;2;0;;;;0
?lava;AGURAIN/SALVATIERRA;51;1;1;"	B";586;351;4;347;6;341;235;107;169;27;17;11;2;6;2;0;0;;;;0
?lava;AGURAIN/SALVATIERRA;51;1;2;"	A";671;389;;389;8;381;282;120;211;21;10;9;3;4;3;0;0;;;;0
?lava;AGURAIN/SALVATIERRA;51;1;2;"	B";791;490;3;487;7;480;301;130;278;19;14;17;11;7;4;0;0;;;;0
?lava;AGURAIN/SALVATIERRA;51;1;3;"	A";471;244;1;243;3;240;227;94;87;23;14;7;5;8;2;0;0;;;;0
?lava;AGURAIN/SALVATIERRA;51;1;3;"	B";564;318;2;316;;316;246;131;121;23;18;4;3;15;0;0;1;;;;0
?lava;ALEGR?A-DULANTZI;1;1;1;"	A";508;300;1;299;2;297;208;97;101;36;26;9;6;16;2;3;0;;;;1
?lava;ALEGR?A-DULANTZI;1;1;1;"	B";531;310;6;304;2;302;221;115;94;35;24;8;9;14;1;1;1;;;;0
?lava;ALEGR?A-DULANTZI;1;1;2;"	A";557;328;3;325;1;324;229;107;118;49;16;11;7;14;1;1;0;;;;0
?lava;ALEGR?A-DULANTZI;1;1;2;"	B";532;284;5;279;8;271;248;93;88;40;18;7;13;12;0;0;0;;;;0
?lava;AMURRIO;2;1;1;"	A";618;431;4;427;3;424;187;145;163;48;24;19;3;17;1;4;0;;;;0
?lava;AMURRIO;2;1;1;"	B";555;397;4;393;4;389;158;137;141;48;27;16;7;8;2;2;0;;;;1
?lava;AMURRIO;2;1;1;"	C";281;191;2;189;3;186;90;78;73;12;8;3;5;2;3;0;1;;;;1
?lava;AMURRIO;2;1;2;"	A";562;393;1;392;4;388;169;128;160;37;26;12;13;7;1;4;0;;;;0
?lava;AMURRIO;2;1;2;"	B";516;336;2;334;4;330;180;121;129;32;24;7;4;9;4;0;0;;;;0
?lava;AMURRIO;2;1;2;"	C";209;148;2;146;4;142;61;56;72;4;4;2;2;1;0;1;0;;;;0
?lava;AMURRIO;2;1;3;"	A";569;393;4;389;;389;176;137;180;30;17;5;10;5;2;2;0;;;;1
?lava;AMURRIO;2;1;3;"	B";537;375;2;373;6;367;162;134;165;22;22;5;10;5;1;2;0;;;;1
